(998, 5354)
(998, 4989)
(999, 5355)
(999, 4988)
(2326, 533)
(2327, 532)
(2327, 637)
(4866, 1771)
(4866, 3172)
(4867, 3173)
(5975, 125)
(5976, 126)
(5977, 127)
(5978, 128)
(5978, 4094)
(8591, 4113)
(8592, 4114)
(9037, 3552)
(9186, 5265)
(9480, 424)
(9480, 1427)
(9481, 425)
(9481, 1428)
(9482, 1429)
(10614, 5353)
(10615, 5354)
(10615, 4989)
(10617, 4205)
(10954, 3320)
(11189, 4178)
(13150, 262)
(13150, 2036)
(13150, 4507)
(13151, 261)
(13529, 192)
(13530, 193)
(13531, 194)
(13532, 195)
(13533, 196)
(13534, 243)
(13534, 4692)
(13534, 197)
(13860, 2342)
(13861, 2343)
(15402, 1740)
(15402, 2743)
(15402, 2106)
(15403, 2744)
(15644, 3365)
(16272, 532)
(16272, 637)
(16735, 425)
(16735, 1428)
(16868, 3285)
(17698, 23)
(17698, 3958)
(17698, 2798)
(17763, 4920)
(17764, 4921)
(17903, 3241)
(17903, 4807)
(19662, 3041)
(19663, 1851)
(19663, 3040)
(20246, 4023)
(21402, 857)
(23769, 3303)
(27850, 5328)
(27970, 1852)
(27971, 1851)
(27971, 3040)
(28039, 2575)
(28039, 4729)
(29169, 152)
(29170, 151)
(29171, 150)
(29577, 2868)
(29578, 2867)
(29967, 3092)
(29968, 3091)
(30684, 2797)
(30685, 23)
(30685, 3958)
(30685, 2798)
(33177, 980)
(34391, 4178)
(34392, 4177)
(35371, 3339)
(35372, 3340)
(36221, 5010)
(38064, 3776)
(38064, 2540)
(38065, 2539)
(38162, 196)
(38163, 243)
(38163, 4692)
(38163, 197)
(38990, 4148)
(39021, 4921)
(39515, 2455)
(39516, 2454)
(40049, 60)
(40767, 1997)
(43841, 13)
(44189, 3157)
(44190, 3158)
(46376, 518)
(46377, 519)
(46377, 2616)
(46377, 1380)
(46378, 2617)
(50626, 1882)
(51702, 4193)
(53987, 2409)
(55469, 4506)
(55469, 2037)
(55470, 262)
(55470, 2036)
(55470, 4507)
(55471, 4508)
(55472, 4509)
(56563, 1871)
(56564, 1872)
(56851, 24)
(56852, 23)
(56852, 3958)
(56852, 2798)
(57197, 1235)
(57595, 890)
(57643, 2252)
(57643, 3942)
(61170, 519)
(61170, 2616)
(61170, 1380)
(61171, 2617)
(61448, 666)
(61449, 665)
(61616, 2008)
(63516, 1771)
(63516, 3172)
(63517, 1772)
(63518, 1773)
(64163, 263)
(64164, 262)
(64164, 2036)
(64164, 4507)
(64165, 4508)
(64549, 4931)
(66170, 518)
(66171, 519)
(66171, 2616)
(66171, 1380)
(66172, 2617)
(66342, 1107)
(66342, 2907)
(66714, 1740)
(66714, 2743)
(66714, 2106)
(66715, 2105)
(67932, 3241)
(67932, 4807)
(67933, 4806)
(69193, 5354)
(69193, 4989)
(69194, 5355)
(69194, 4988)
(69195, 4987)
(72331, 2218)
(72847, 1010)
(74603, 1107)
(74603, 2907)
(74604, 2906)
(77138, 2575)
(77138, 4729)
(77475, 2619)
(77497, 128)
(77497, 4094)
(77498, 129)
(77498, 4095)
(78449, 175)
(78450, 176)
(79121, 13)
(79690, 2941)
(79941, 5179)
(80917, 1739)
(80917, 2742)
(80917, 2107)
(80918, 1740)
(80918, 2743)
(80918, 2106)
(80919, 1741)
(82412, 966)
(82413, 967)
(82986, 3985)
(83594, 311)
(84319, 243)
(84319, 4692)
(84319, 197)
(84320, 198)
(84321, 199)
(85462, 2379)
(88231, 840)
(88232, 839)
(89822, 4171)
(91911, 2252)
(91911, 3942)
(94360, 3776)
(94360, 2540)
(94361, 2539)
(94362, 2538)
(95239, 4892)
(97330, 1664)
(97331, 1665)
(99204, 3232)
(100147, 3531)
